data_date,station_id,station_name,stat_hour,order_count,total_kwh,total_fees,data_version
2014-01-24,944515,经开区第八大街·交直流充电站8号,18,1,5.28000000,0E-8,2.2.0
2014-03-10,944515,经开区第八大街·交直流充电站8号,11,1,8.48000000,0E-8,2.2.0
2014-03-13,481613,高新区瑞达路·直流充电站3号,15,1,2.76000000,0E-8,2.2.0
2014-04-02,369001,航空港区迎宾大道·交流充电站1号,10,1,2.12000000,0E-8,2.2.0
2014-04-17,914305,高新区瑞达路·直流充电站10号,12,1,4.90000000,7.28000000,2.2.0
2014-05-05,369001,航空港区迎宾大道·交流充电站1号,10,1,11.51000000,1.00000000,2.2.0
2014-05-08,638536,二七区淮河路·交直流充电站3号,17,1,0.03000000,0E-8,2.2.0
2014-05-20,728918,郑东新区金水东路·交直流充电站6号,16,1,0.51000000,0E-8,2.2.0
2014-05-22,369001,航空港区迎宾大道·交流充电站1号,17,1,3.89000000,0E-8,2.2.0
2014-06-07,987396,航空港区长安路·直流充电站3号,17,1,8.90000000,0E-8,2.2.0
2014-06-16,653450,上街区中心路·交直流充电站3号,14,1,4.77000000,0E-8,2.2.0
2014-06-20,369001,航空港区迎宾大道·交流充电站1号,16,1,3.71000000,0E-8,2.2.0
2014-07-01,902592,二七区嵩山路·交直流充电站4号,11,1,6.78000000,0E-8,2.2.0
2014-07-08,582873,高新区科学大道·交直流充电站6号,11,1,23.68000000,0E-8,2.2.0
2014-07-13,474204,经开区航海东路·直流充电站3号,10,1,1.51000000,0E-8,2.2.0
2014-07-13,874950,金水区北三环·直流充电站3号,8,1,23.68000000,0E-8,2.2.0
2014-07-16,995505,二七区淮河路·交直流充电站6号,13,1,4.82000000,0E-8,2.2.0
2014-07-19,902592,二七区嵩山路·交直流充电站4号,16,1,3.63000000,0.29000000,2.2.0
2014-07-24,989457,郑东新区东风东路·交直流充电站4号,11,1,23.68000000,0E-8,2.2.0
2014-08-02,738900,经开区第八大街·交直流充电站6号,12,1,3.20000000,0E-8,2.2.0
