period_start,order_count,total_kwh,total_fees,data_version
2014-01-24,1,5.28000000,0E-8,2.2.0
2014-03-10,1,8.48000000,0E-8,2.2.0
2014-03-13,1,2.76000000,0E-8,2.2.0
2014-04-02,1,2.12000000,0E-8,2.2.0
2014-04-17,1,4.90000000,7.28000000,2.2.0
2014-05-05,1,11.51000000,1.00000000,2.2.0
2014-05-08,1,0.03000000,0E-8,2.2.0
2014-05-20,1,0.51000000,0E-8,2.2.0
2014-05-22,1,3.89000000,0E-8,2.2.0
2014-06-07,1,8.90000000,0E-8,2.2.0
2014-06-16,1,4.77000000,0E-8,2.2.0
2014-06-20,1,3.71000000,0E-8,2.2.0
2014-07-01,1,6.78000000,0E-8,2.2.0
2014-07-08,1,23.68000000,0E-8,2.2.0
2014-07-13,2,25.19000000,0E-8,2.2.0
2014-07-16,1,4.82000000,0E-8,2.2.0
2014-07-19,1,3.63000000,0.29000000,2.2.0
2014-07-24,1,23.68000000,0E-8,2.2.0
2014-08-02,1,3.20000000,0E-8,2.2.0
2014-08-15,1,3.43000000,0E-8,2.2.0
2014-08-21,1,6.32000000,0E-8,2.2.0
2014-08-23,1,4.24000000,0E-8,2.2.0
2014-09-01,1,11.75000000,0E-8,2.2.0
2014-09-05,1,3.05000000,0E-8,2.2.0
2014-09-18,1,3.60000000,0E-8,2.2.0
2014-09-23,1,1.04000000,0E-8,2.2.0
2014-09-24,2,10.74000000,0.08000000,2.2.0
2014-09-25,1,4.67000000,0E-8,2.2.0
2014-10-14,1,5.68000000,4.15000000,2.2.0
2015-01-01,4,19.57000000,0E-8,2.2.0
2015-01-02,3,22.56000000,0.81000000,2.2.0
2015-01-03,2,5.34000000,0E-8,2.2.0
2015-01-04,3,16.16000000,0E-8,2.2.0
2015-01-05,2,13.45000000,0E-8,2.2.0
2015-01-06,2,6.08000000,0E-8,2.2.0
2015-01-07,2,18.06000000,0E-8,2.2.0
2015-01-08,2,10.50000000,4.29000000,2.2.0
2015-01-09,3,38.66000000,0E-8,2.2.0
2015-01-10,3,11.13000000,0E-8,2.2.0
2015-01-11,1,5.15000000,7.50000000,2.2.0
2015-01-12,3,21.60000000,0E-8,2.2.0
2015-01-13,2,9.01000000,0E-8,2.2.0
2015-01-14,2,13.91000000,1.13000000,2.2.0
2015-01-15,2,16.57000000,0E-8,2.2.0
2015-01-16,3,10.45000000,0E-8,2.2.0
2015-01-17,5,28.61000000,0.95000000,2.2.0
2015-01-18,1,23.68000000,0E-8,2.2.0
2015-01-19,1,7.28000000,0E-8,2.2.0
2015-01-20,2,28.00000000,0E-8,2.2.0
2015-01-21,1,4.91000000,0E-8,2.2.0
2015-01-22,1,2.13000000,0E-8,2.2.0
2015-01-23,1,6.04000000,0E-8,2.2.0
2015-01-24,5,39.43000000,0E-8,2.2.0
