data_date,record_count,session_count,average_soc,average_current,average_voltage,average_max_temperature,data_version
2014-01-24,1,1,45.60000000,-22.50000000,330.60000000,33.70000000,2.2.0
2014-03-13,1,1,57.50000000,-22.50000000,356.70000000,33.00000000,2.2.0
2014-05-05,1,1,26.10000000,-22.50000000,354.30000000,37.00000000,2.2.0
2014-05-08,1,1,64.30000000,-22.50000000,329.20000000,36.10000000,2.2.0
2014-05-20,1,1,41.60000000,-22.50000000,330.80000000,37.00000000,2.2.0
2014-05-22,1,1,32.50000000,-61.40000000,340.70000000,34.60000000,2.2.0
2014-06-07,1,1,27.60000000,-22.50000000,340.30000000,37.00000000,2.2.0
2014-06-16,1,1,42.20000000,-22.50000000,328.60000000,34.50000000,2.2.0
2014-06-20,1,1,71.70000000,-22.50000000,329.40000000,34.10000000,2.2.0
2014-07-01,1,1,37.00000000,-22.50000000,354.30000000,37.00000000,2.2.0
2014-07-13,2,2,53.55000000,-22.50000000,344.50000000,33.45000000,2.2.0
2014-07-19,1,1,71.90000000,-22.50000000,333.70000000,35.80000000,2.2.0
2014-07-24,1,1,21.80000000,-22.50000000,328.80000000,32.90000000,2.2.0
2014-08-15,1,1,38.30000000,-22.50000000,332.10000000,32.10000000,2.2.0
2014-08-21,1,1,23.40000000,-22.50000000,334.50000000,33.80000000,2.2.0
2014-09-18,1,1,69.10000000,-22.50000000,328.40000000,33.00000000,2.2.0
2014-09-24,2,2,51.85000000,-22.50000000,340.80000000,36.50000000,2.2.0
2015-01-01,2,2,46.35000000,-22.50000000,342.35000000,37.00000000,2.2.0
2015-01-02,1,1,21.20000000,-22.50000000,341.80000000,36.00000000,2.2.0
2015-01-04,1,1,64.80000000,-22.50000000,354.90000000,35.40000000,2.2.0
2015-01-05,1,1,39.20000000,-22.50000000,327.20000000,37.00000000,2.2.0
2015-01-06,1,1,73.10000000,-22.50000000,327.70000000,37.00000000,2.2.0
2015-01-07,1,1,38.90000000,-22.50000000,354.90000000,33.00000000,2.2.0
2015-01-08,1,1,66.00000000,-39.40000000,353.60000000,36.00000000,2.2.0
2015-01-09,2,2,37.35000000,-28.35000000,339.85000000,36.50000000,2.2.0
2015-01-11,1,1,67.60000000,-22.50000000,352.50000000,36.10000000,2.2.0
2015-01-12,3,3,29.30000000,-22.50000000,338.40000000,35.87000000,2.2.0
2015-01-13,1,1,70.70000000,-22.50000000,339.80000000,37.00000000,2.2.0
2015-01-14,1,1,23.30000000,-22.50000000,342.00000000,33.00000000,2.2.0
2015-01-15,1,1,51.60000000,-22.50000000,335.70000000,34.40000000,2.2.0
2015-01-16,2,2,28.95000000,-22.50000000,328.75000000,33.00000000,2.2.0
2015-01-17,1,1,64.70000000,-22.50000000,357.70000000,32.20000000,2.2.0
2015-01-18,1,1,58.40000000,-22.50000000,334.10000000,33.90000000,2.2.0
2015-01-19,1,1,59.90000000,-22.50000000,327.60000000,34.90000000,2.2.0
2015-01-20,1,1,71.30000000,-22.50000000,328.40000000,36.00000000,2.2.0
2015-01-21,1,1,43.30000000,-22.50000000,354.90000000,37.00000000,2.2.0
2015-01-23,1,1,41.20000000,-22.50000000,347.30000000,36.00000000,2.2.0
2015-01-24,1,1,49.20000000,-22.50000000,332.90000000,35.60000000,2.2.0
2015-01-26,2,2,24.65000000,-29.70000000,339.40000000,33.35000000,2.2.0
2015-01-28,3,3,40.53000000,-22.50000000,348.07000000,36.67000000,2.2.0
2015-02-02,1,1,66.50000000,-22.50000000,358.70000000,36.60000000,2.2.0
2015-02-04,3,3,46.63000000,-22.50000000,342.10000000,36.33000000,2.2.0
2015-02-05,3,3,44.53000000,-38.93000000,332.93000000,36.67000000,2.2.0
2015-02-06,3,3,41.37000000,-22.50000000,335.10000000,34.33000000,2.2.0
2015-02-07,1,1,48.90000000,-22.50000000,325.30000000,37.00000000,2.2.0
2015-02-08,1,1,16.90000000,-22.50000000,331.10000000,35.60000000,2.2.0
2015-02-10,5,5,41.10000000,-28.60000000,344.66000000,35.30000000,2.2.0
2015-02-12,1,1,35.80000000,-22.50000000,353.50000000,33.00000000,2.2.0
2015-02-13,1,1,57.40000000,-22.50000000,355.30000000,34.30000000,2.2.0
2015-02-14,2,2,55.80000000,-22.50000000,336.20000000,34.50000000,2.2.0
2015-02-15,2,2,55.10000000,-22.50000000,335.75000000,35.35000000,2.2.0
2015-02-16,3,3,59.80000000,-32.30000000,344.63000000,35.67000000,2.2.0
2015-02-17,2,2,38.00000000,-22.50000000,351.60000000,35.25000000,2.2.0
2015-02-18,2,2,25.60000000,-22.50000000,337.40000000,34.00000000,2.2.0
2015-02-19,2,2,33.40000000,-22.50000000,328.95000000,34.90000000,2.2.0
2015-02-20,4,4,34.48000000,-22.50000000,350.70000000,34.75000000,2.2.0
2015-02-21,1,1,73.40000000,-22.50000000,327.70000000,33.00000000,2.2.0
2015-02-22,2,2,54.35000000,-22.50000000,341.50000000,34.15000000,2.2.0
2015-02-23,1,1,23.10000000,-27.70000000,337.50000000,34.40000000,2.2.0
2015-02-24,1,1,66.30000000,-22.50000000,351.70000000,33.00000000,2.2.0
2015-02-25,2,2,36.15000000,-22.50000000,337.20000000,33.40000000,2.2.0
2015-02-27,1,1,23.60000000,-22.50000000,343.30000000,33.20000000,2.2.0
2015-02-28,2,2,51.30000000,-22.50000000,342.10000000,34.95000000,2.2.0
2015-03-01,5,5,41.40000000,-32.02000000,348.44000000,35.18000000,2.2.0
2015-03-02,6,6,50.20000000,-22.50000000,337.97000000,34.65000000,2.2.0
2015-03-03,7,7,42.07000000,-22.50000000,335.96000000,35.10000000,2.2.0
2015-03-04,4,4,39.63000000,-22.50000000,338.23000000,34.48000000,2.2.0
2015-03-05,5,5,41.56000000,-22.50000000,342.96000000,35.38000000,2.2.0
2015-03-06,4,4,49.42000000,-22.50000000,342.35000000,34.00000000,2.2.0
2015-03-07,3,3,45.90000000,-22.50000000,335.37000000,33.13000000,2.2.0
2015-03-08,5,5,51.46000000,-22.50000000,335.68000000,35.16000000,2.2.0
2015-03-09,1,1,29.50000000,-22.50000000,348.00000000,37.00000000,2.2.0
2015-03-10,1,1,19.70000000,-22.50000000,356.70000000,37.00000000,2.2.0
2015-03-11,7,7,51.87000000,-22.50000000,335.93000000,34.07000000,2.2.0
2015-03-12,6,6,43.50000000,-28.07000000,334.73000000,35.62000000,2.2.0
2015-03-13,2,2,47.60000000,-22.50000000,330.40000000,37.00000000,2.2.0
2015-03-14,7,7,44.29000000,-28.39000000,340.06000000,34.80000000,2.2.0
2015-03-15,2,2,54.05000000,-22.50000000,326.55000000,35.75000000,2.2.0
2015-03-16,7,7,48.76000000,-25.13000000,335.89000000,35.53000000,2.2.0
2015-03-17,5,5,39.36000000,-22.50000000,336.66000000,35.52000000,2.2.0
2015-03-18,4,4,25.03000000,-22.50000000,346.98000000,35.38000000,2.2.0
2015-03-19,4,4,63.60000000,-22.50000000,349.20000000,35.55000000,2.2.0
2015-03-20,2,2,33.90000000,-22.50000000,340.90000000,34.80000000,2.2.0
2015-03-21,1,1,15.60000000,-22.50000000,332.00000000,35.20000000,2.2.0
2015-03-22,4,4,45.08000000,-22.50000000,343.70000000,36.50000000,2.2.0
2015-03-23,5,5,47.14000000,-26.98000000,333.96000000,34.06000000,2.2.0
2015-03-24,4,4,43.78000000,-22.50000000,329.25000000,35.88000000,2.2.0
2015-03-25,2,2,59.15000000,-22.50000000,328.80000000,34.30000000,2.2.0
2015-03-26,4,4,40.77000000,-22.50000000,330.68000000,36.67000000,2.2.0
2015-03-27,4,4,54.45000000,-22.50000000,332.53000000,34.92000000,2.2.0
2015-03-28,3,3,48.87000000,-35.77000000,331.53000000,35.03000000,2.2.0
2015-04-01,11,11,48.61000000,-22.50000000,337.05000000,34.39000000,2.2.0
2015-04-02,5,5,45.66000000,-22.50000000,344.96000000,35.04000000,2.2.0
2015-04-03,16,16,41.09000000,-22.50000000,337.73000000,34.60000000,2.2.0
2015-04-04,7,7,54.01000000,-22.50000000,336.27000000,36.31000000,2.2.0
2015-04-05,8,8,45.02000000,-22.50000000,340.64000000,36.08000000,2.2.0
2015-04-06,6,6,49.43000000,-30.57000000,345.55000000,35.17000000,2.2.0
2015-04-07,6,6,34.50000000,-22.50000000,339.75000000,34.43000000,2.2.0
2015-04-08,4,4,45.42000000,-22.50000000,333.07000000,34.65000000,2.2.0
2015-04-09,6,6,54.48000000,-23.28000000,337.53000000,34.27000000,2.2.0
2015-04-10,2,2,38.15000000,-22.50000000,342.30000000,34.00000000,2.2.0
2015-04-11,6,6,46.28000000,-30.87000000,337.82000000,35.70000000,2.2.0
2015-04-12,11,11,42.29000000,-27.99000000,335.91000000,36.06000000,2.2.0
2015-04-13,6,6,48.48000000,-22.50000000,337.90000000,35.72000000,2.2.0
2015-04-14,6,6,53.05000000,-22.50000000,332.83000000,34.97000000,2.2.0
2015-04-15,3,3,41.60000000,-22.50000000,332.47000000,36.33000000,2.2.0
2015-04-16,4,4,27.05000000,-22.50000000,334.38000000,36.75000000,2.2.0
2015-04-17,8,8,32.09000000,-22.50000000,329.26000000,35.76000000,2.2.0
2015-04-18,1,1,33.50000000,-22.50000000,348.20000000,33.00000000,2.2.0
2015-04-19,3,3,63.40000000,-22.50000000,327.23000000,34.60000000,2.2.0
2015-04-20,10,10,40.43000000,-22.50000000,338.57000000,35.41000000,2.2.0
2015-04-21,5,5,54.38000000,-22.50000000,332.00000000,35.42000000,2.2.0
2015-04-22,5,5,37.50000000,-22.50000000,337.76000000,35.82000000,2.2.0
2015-04-23,10,10,42.38000000,-22.50000000,335.95000000,36.12000000,2.2.0
2015-04-24,8,8,44.34000000,-22.50000000,334.14000000,34.31000000,2.2.0
2015-04-25,3,3,25.00000000,-22.50000000,332.90000000,34.57000000,2.2.0
2015-04-26,2,2,49.55000000,-22.50000000,330.25000000,33.65000000,2.2.0
2015-04-27,9,9,52.54000000,-22.50000000,333.43000000,35.24000000,2.2.0
2015-04-28,4,4,57.73000000,-22.50000000,335.15000000,35.67000000,2.2.0
2015-05-01,9,9,45.62000000,-23.68000000,337.18000000,34.79000000,2.2.0
2015-05-02,11,11,44.75000000,-25.45000000,333.73000000,35.05000000,2.2.0
2015-05-03,13,13,45.04000000,-22.96000000,335.25000000,35.66000000,2.2.0
2015-05-04,6,6,39.38000000,-22.50000000,341.68000000,35.38000000,2.2.0
2015-05-05,10,10,48.28000000,-24.53000000,337.87000000,36.20000000,2.2.0
2015-05-06,11,11,50.48000000,-22.50000000,340.60000000,35.06000000,2.2.0
2015-05-07,10,10,54.14000000,-22.50000000,332.95000000,35.67000000,2.2.0
2015-05-08,9,9,36.33000000,-22.50000000,332.41000000,36.10000000,2.2.0
2015-05-09,11,11,45.47000000,-22.50000000,337.75000000,34.61000000,2.2.0
2015-05-10,4,4,45.95000000,-22.50000000,340.12000000,35.15000000,2.2.0
2015-05-11,10,10,37.57000000,-22.50000000,338.99000000,34.41000000,2.2.0
2015-05-12,7,7,55.19000000,-25.53000000,341.06000000,34.61000000,2.2.0
2015-05-13,9,9,47.98000000,-22.50000000,337.11000000,35.10000000,2.2.0
2015-05-14,8,8,45.19000000,-28.30000000,337.23000000,35.94000000,2.2.0
2015-05-15,7,7,53.40000000,-25.50000000,343.51000000,35.11000000,2.2.0
2015-05-16,7,7,46.11000000,-22.50000000,341.37000000,36.04000000,2.2.0
2015-05-17,7,7,43.03000000,-22.50000000,332.50000000,36.07000000,2.2.0
2015-05-18,5,5,31.72000000,-22.50000000,330.44000000,36.40000000,2.2.0
2015-05-19,7,7,51.27000000,-24.84000000,334.64000000,35.91000000,2.2.0
2015-05-20,8,8,46.64000000,-22.50000000,338.80000000,35.62000000,2.2.0
2015-05-21,13,13,41.08000000,-23.78000000,338.06000000,34.98000000,2.2.0
2015-05-22,8,8,47.50000000,-22.50000000,339.45000000,35.85000000,2.2.0
2015-05-23,6,6,31.90000000,-22.50000000,336.25000000,35.65000000,2.2.0
2015-05-24,11,11,44.78000000,-26.89000000,334.37000000,36.10000000,2.2.0
2015-05-25,8,8,47.34000000,-22.50000000,339.19000000,34.14000000,2.2.0
2015-05-26,8,8,53.51000000,-23.64000000,336.96000000,34.73000000,2.2.0
2015-05-27,8,8,38.56000000,-25.75000000,337.31000000,35.45000000,2.2.0
2015-05-28,12,12,45.95000000,-22.50000000,337.80000000,34.62000000,2.2.0
2015-06-01,6,6,45.18000000,-22.50000000,334.80000000,35.02000000,2.2.0
2015-06-02,11,11,37.99000000,-23.17000000,339.52000000,35.22000000,2.2.0
