esd,record_time,soc,pack_voltage (V),charge_current (A),max_cell_voltage (V),min_cell_voltage (V),max_temperature (℃),min_temperature (℃),available_energy (kw),available_capacity (Ah)
1000002,1.55E+12,24.9,326.4,-22.5,3.311,3.236,35.1,32.6,9.98,94.69
1000003,1.57E+12,19.4,328.5,-22.5,3.325,3.256,37.0,33.4,2.93,110.63
1000004,1.56E+12,20.2,351.3,-22.5,3.555,3.486,33.4,31.4,7.26,87.44
1000005,1.56E+12,65.3,327.3,-22.5,3.305,3.250,37.0,35.2,4.40,71.09
1000007,1.55E+12,38.8,346.6,-22.5,3.498,3.442,37.0,35.1,2.95,65.26
1000010,1.55E+12,31.0,332.4,-22.5,3.356,3.298,36.6,33.9,2.77,85.75
1000011,1.55E+12,46.4,353.4,-22.5,3.574,3.506,36.1,33.3,6.49,72.75
1000012,1.57E+12,65.2,355.5,-22.5,3.604,3.531,37.0,34.4,4.11,97.42
1000013,1.55E+12,68.0,351.9,-22.5,3.561,3.496,35.8,32.9,5.01,74.21
1000017,1.55E+12,48.4,339.8,-22.5,3.448,3.369,34.8,30.8,2.75,118.98
1000020,1.57E+12,56.2,335.1,-22.5,3.386,3.323,33.0,30.5,7.28,103.32
1000022,1.56E+12,68.9,333.1,-22.5,3.377,3.302,35.5,33.3,11.64,111.57
1000023,1.56E+12,73.3,334.3,-22.5,3.384,3.322,37.0,35.2,3.24,95.57
1000025,1.56E+12,55.8,348.6,-22.5,3.523,3.462,36.0,34.2,5.98,110.10
1000027,1.55E+12,74.2,355.9,-22.5,3.598,3.529,33.0,31.7,23.47,66.65
1000028,1.55E+12,43.3,328.6,-22.5,3.322,3.263,35.4,34.2,1.43,66.17
1000030,1.57E+12,48.0,330.3,-22.5,3.342,3.280,36.4,32.9,7.74,86.28
1000039,1.55E+12,75.3,339.2,-22.5,3.438,3.368,35.8,31.9,3.57,112.53
1000043,1.56E+12,16.8,351.3,-22.5,3.561,3.489,34.5,31.9,0.51,118.52
1000044,1.56E+12,37.4,327.1,-22.5,3.315,3.244,36.8,33.8,5.97,99.26
1000045,1.57E+12,75.5,334.0,-22.5,3.389,3.320,33.0,31.7,1.41,76.40
1000047,1.56E+12,74.1,344.5,-22.5,3.491,3.417,33.3,30.8,23.31,102.11
1000048,1.57E+12,52.8,353.1,-22.5,3.562,3.510,35.5,32.0,5.03,100.19
1000052,1.56E+12,48.0,324.9,-22.5,3.286,3.220,33.0,31.0,2.09,96.77
1000053,1.56E+12,69.9,353.5,-63.6,3.571,3.508,36.6,34.5,8.04,113.18
1000055,1.57E+12,16.0,358.6,-22.5,3.631,3.564,37.0,34.2,15.85,80.77
1000056,1.55E+12,54.4,329.4,-22.5,3.339,3.264,37.0,35.5,4.44,71.95
1000057,1.56E+12,55.1,354.2,-22.5,3.573,3.521,32.3,30.1,1.97,113.62
1000059,1.57E+12,57.5,356.0,-22.5,3.594,3.534,36.0,33.0,6.92,66.12
1000062,1.57E+12,48.8,348.9,-22.5,3.528,3.466,35.9,32.4,22.29,115.64
1000063,1.55E+12,59.3,331.0,-22.5,3.340,3.289,36.0,34.3,21.66,105.59
1000065,1.55E+12,38.7,333.9,-22.5,3.370,3.317,32.5,31.4,24.73,82.44
1000068,1.57E+12,55.2,333.9,-22.5,3.376,3.309,37.0,33.1,4.41,74.10
1000070,1.55E+12,29.9,341.6,-22.5,3.450,3.388,35.3,31.7,9.52,67.70
1000074,1.57E+12,43.0,327.5,-22.5,3.320,3.252,37.0,36.0,5.14,64.18
1000079,1.56E+12,62.3,337.6,-22.5,3.417,3.352,35.7,32.2,2.86,113.85
1000080,1.57E+12,72.1,341.5,-22.5,3.463,3.393,35.4,33.8,3.90,68.70
1000082,1.55E+12,21.6,336.3,-22.5,3.398,3.335,33.2,31.9,6.95,113.04
1000084,1.55E+12,52.9,331.4,-22.5,3.358,3.289,37.0,34.2,2.43,89.42
1000085,1.55E+12,61.8,331.1,-22.5,3.348,3.285,37.0,35.5,11.78,119.25
1000086,1.55E+12,28.6,340.5,-22.5,3.441,3.380,33.4,31.0,2.57,81.03
1000089,1.56E+12,29.4,325.1,-22.5,3.286,3.223,37.0,34.9,4.36,68.23
1000096,1.57E+12,20.9,327.7,-65.7,3.315,3.248,37.0,34.9,3.76,78.56
1000097,1.55E+12,21.3,338.2,-22.5,3.431,3.358,37.0,35.1,4.13,72.13
1000099,1.57E+12,30.5,356.7,-22.5,3.608,3.541,37.0,36.0,4.46,111.46
1000101,1.56E+12,15.7,341.5,-22.5,3.446,3.387,33.0,31.5,6.04,84.25
1000107,1.56E+12,47.8,333.8,-41.4,3.371,3.314,37.0,35.6,22.44,82.03
1000108,1.57E+12,62.5,336.5,-22.5,3.412,3.339,33.0,31.3,5.83,104.02
1000109,1.57E+12,57.3,353.8,-22.5,3.572,3.511,33.3,30.4,2.19,68.78
1000110,1.56E+12,61.8,356.4,-22.5,3.604,3.540,35.1,33.0,1.57,113.57
1000111,1.55E+12,42.9,356.2,-22.5,3.595,3.541,35.6,32.8,5.73,95.93
1000114,1.55E+12,34.1,331.9,-22.5,3.359,3.293,36.0,32.2,3.29,101.77
1000115,1.57E+12,19.2,327.9,-43.1,3.322,3.259,36.4,34.0,5.29,86.85
1000116,1.56E+12,72.0,334.8,-22.5,3.397,3.321,33.0,31.4,23.72,93.79
1000120,1.57E+12,71.6,357.1,-22.5,3.607,3.544,34.0,31.1,7.64,75.73
1000122,1.57E+12,25.7,327.7,-22.5,3.320,3.255,37.0,34.7,23.84,107.05
1000123,1.55E+12,60.1,339.8,-22.5,3.437,3.373,36.9,34.2,9.79,107.91
1000125,1.56E+12,58.8,332.2,-22.5,3.360,3.297,33.9,30.2,4.20,98.49
1000127,1.56E+12,71.0,353.1,-22.5,3.571,3.510,37.0,34.1,24.70,113.86
1000129,1.56E+12,27.1,333.9,-22.5,3.372,3.314,35.6,31.7,0.65,103.28
1000130,1.57E+12,46.4,329.0,-22.5,3.325,3.267,37.0,33.8,1.43,83.51
1000131,1.57E+12,65.1,356.0,-22.5,3.599,3.533,37.0,33.9,5.08,113.29
1000133,1.55E+12,54.0,354.6,-22.5,3.578,3.525,34.4,30.7,24.52,64.37
1000135,1.55E+12,64.3,335.3,-22.5,3.389,3.325,37.0,33.1,11.09,75.06
1000136,1.56E+12,19.0,335.5,-22.5,3.401,3.334,37.0,34.2,3.36,64.15
1000137,1.56E+12,51.1,346.1,-22.5,3.505,3.436,37.0,33.7,6.36,77.00
1000139,1.56E+12,19.0,324.0,-22.5,3.282,3.215,37.0,35.8,6.33,73.90
1000141,1.55E+12,29.3,352.0,-22.5,3.570,3.491,33.0,31.2,0.49,118.01
1000143,1.57E+12,20.1,342.3,-22.5,3.459,3.397,32.7,31.2,7.88,61.44
1000144,1.56E+12,25.4,325.2,-22.5,3.291,3.232,33.9,32.8,7.35,76.26
1000146,1.55E+12,61.0,339.0,-22.5,3.440,3.362,37.0,35.6,2.33,80.70
1000148,1.55E+12,37.3,329.1,-22.5,3.334,3.265,37.0,35.2,5.81,61.07
1000150,1.55E+12,61.5,332.3,-22.5,3.373,3.295,36.0,34.3,10.07,89.27
1000151,1.56E+12,53.4,326.2,-22.5,3.309,3.242,37.0,33.1,10.57,114.91
1000152,1.55E+12,73.8,329.0,-22.5,3.338,3.262,33.0,31.6,8.06,107.42
1000153,1.57E+12,63.0,328.6,-22.5,3.316,3.257,37.0,34.3,12.75,102.81
1000154,1.57E+12,27.8,349.9,-22.5,3.540,3.472,33.0,31.8,7.78,87.77
1000155,1.56E+12,30.6,350.8,-22.5,3.545,3.484,37.0,33.9,3.90,98.92
1000156,1.56E+12,50.7,327.8,-51.1,3.317,3.255,34.4,33.0,3.41,62.30
1000159,1.56E+12,31.1,329.9,-22.5,3.339,3.277,37.0,34.4,2.08,70.86
1000160,1.56E+12,35.8,331.8,-22.5,3.367,3.294,33.5,30.2,8.82,88.73
1000163,1.55E+12,47.4,326.7,-22.5,3.304,3.242,35.0,33.6,0.69,106.00
1000164,1.56E+12,22.7,323.7,-22.5,3.284,3.213,35.3,32.9,6.22,116.38
1000165,1.55E+12,48.8,348.5,-22.5,3.517,3.462,33.0,31.9,1.92,96.10
1000166,1.57E+12,36.1,324.5,-22.5,3.287,3.221,37.0,34.5,7.87,91.25
1000170,1.57E+12,15.9,358.7,-22.5,3.621,3.565,32.3,30.0,9.47,115.18
1000173,1.57E+12,25.1,329.1,-22.5,3.341,3.266,34.2,31.1,2.91,96.73
1000175,1.55E+12,72.4,351.2,-22.5,3.550,3.488,36.0,34.5,5.96,109.65
1000176,1.56E+12,72.0,347.0,-22.5,3.503,3.442,37.0,34.5,4.15,75.25
1000178,1.55E+12,15.3,325.3,-22.5,3.292,3.227,33.1,30.3,4.96,81.23
1000179,1.56E+12,43.1,349.2,-55.0,3.539,3.467,37.0,34.3,8.42,60.14
1000184,1.57E+12,47.8,326.8,-22.5,3.298,3.240,33.0,29.1,7.24,72.60
1000186,1.56E+12,54.8,336.7,-22.5,3.402,3.338,34.3,32.1,9.87,104.07
1000188,1.56E+12,17.0,347.2,-22.5,3.512,3.446,33.0,29.7,4.61,117.93
1000189,1.57E+12,55.6,329.0,-22.5,3.328,3.261,33.0,30.0,9.18,101.24
1000190,1.57E+12,26.2,337.5,-22.5,3.418,3.354,33.6,30.2,5.62,74.51
1000192,1.57E+12,50.0,326.6,-22.5,3.299,3.238,37.0,35.3,3.17,107.33
1000194,1.56E+12,54.6,330.3,-22.5,3.344,3.275,33.0,29.2,22.89,95.06
1000200,1.56E+12,24.5,331.6,-22.5,3.346,3.291,33.0,29.9,17.16,61.95
1000201,1.56E+12,66.5,333.4,-22.5,3.366,3.312,34.0,30.6,0.38,76.75
1000202,1.55E+12,26.2,330.7,-22.5,3.356,3.284,36.0,33.9,5.63,95.64
1000203,1.56E+12,25.3,358.0,-66.1,3.629,3.556,34.6,33.5,3.97,82.48
1000206,1.56E+12,28.3,337.4,-22.5,3.416,3.353,36.0,34.0,7.08,116.89
1000208,1.56E+12,52.7,349.6,-22.5,3.534,3.467,37.0,34.6,12.12,80.71
1000212,1.57E+12,47.9,353.4,-22.5,3.575,3.506,34.0,31.4,6.46,94.47
1000214,1.56E+12,16.6,351.0,-22.5,3.549,3.489,37.0,33.2,9.16,71.94
1000215,1.55E+12,26.0,351.8,-41.8,3.553,3.491,33.3,30.0,6.57,111.44
1000216,1.55E+12,56.8,329.3,-22.5,3.328,3.265,37.0,35.7,7.31,87.61
1000220,1.56E+12,69.2,328.9,-22.5,3.329,3.266,36.2,34.1,3.64,102.60
1000223,1.56E+12,39.2,329.4,-22.5,3.328,3.264,36.0,32.7,6.26,114.92
1000225,1.55E+12,36.4,342.7,-22.5,3.466,3.401,33.0,29.6,5.19,86.54
1000226,1.56E+12,54.0,325.0,-22.5,3.296,3.220,35.0,33.6,5.03,87.10
1000229,1.57E+12,51.2,357.6,-22.5,3.622,3.552,33.0,30.3,3.95,78.49
1000230,1.56E+12,73.8,346.1,-54.3,3.501,3.437,35.3,32.1,1.63,88.35
1000237,1.56E+12,51.1,351.6,-22.5,3.558,3.492,37.0,34.5,5.77,85.91
1000238,1.57E+12,30.5,330.8,-22.5,3.348,3.286,37.0,35.8,4.19,92.47
1000239,1.57E+12,34.6,327.4,-22.5,3.323,3.250,37.0,35.6,6.63,93.79
1000242,1.55E+12,56.6,331.5,-22.5,3.346,3.294,36.0,32.2,4.14,78.97
1000243,1.56E+12,52.4,334.4,-22.5,3.381,3.316,34.9,32.6,7.49,71.40
1000246,1.55E+12,24.1,349.1,-22.5,3.527,3.463,33.0,31.6,10.33,76.95
1000249,1.56E+12,46.1,349.7,-22.5,3.543,3.474,34.2,32.7,1.75,65.15
1000250,1.55E+12,22.0,335.4,-22.5,3.385,3.333,37.0,33.6,0.95,79.14
1000251,1.57E+12,61.0,338.0,-22.5,3.426,3.354,33.0,31.1,5.72,98.57
1000255,1.56E+12,25.7,331.1,-22.5,3.360,3.290,35.9,34.1,2.02,66.18
1000258,1.56E+12,22.1,337.3,-58.1,3.404,3.349,34.2,30.7,7.61,89.81
1000260,1.56E+12,18.7,339.3,-22.5,3.442,3.367,37.0,34.8,10.13,112.11
1000261,1.56E+12,31.4,347.1,-22.5,3.503,3.451,37.0,36.0,8.43,114.81
1000262,1.56E+12,69.6,333.4,-22.5,3.373,3.311,33.0,29.0,4.32,69.44
1000263,1.56E+12,73.7,331.1,-22.5,3.347,3.285,35.5,31.6,18.53,94.64
1000270,1.57E+12,69.3,327.3,-22.5,3.304,3.246,34.2,31.0,8.00,66.85
1000271,1.57E+12,28.0,332.2,-62.4,3.357,3.300,34.0,32.5,24.92,66.55
1000272,1.56E+12,60.7,334.1,-22.5,3.377,3.321,36.0,34.3,7.73,101.37
1000273,1.55E+12,52.0,329.2,-22.5,3.335,3.269,36.5,33.7,5.12,65.83
1000278,1.55E+12,59.5,325.9,-22.5,3.302,3.232,33.0,30.9,3.77,118.07
1000282,1.55E+12,39.5,355.9,-22.5,3.599,3.538,37.0,33.4,1.19,100.29
1000286,1.55E+12,56.1,329.7,-22.5,3.335,3.274,33.9,31.5,11.78,84.12
1000289,1.55E+12,57.7,336.4,-22.5,3.406,3.343,36.0,33.1,5.97,119.97
1000290,1.55E+12,20.1,350.7,-22.5,3.556,3.486,37.0,34.6,6.62,84.26
1000295,1.55E+12,58.3,334.1,-22.5,3.378,3.318,33.8,30.6,3.79,86.98
1000296,1.56E+12,75.3,352.1,-22.5,3.555,3.491,33.9,31.3,4.23,66.99
1000301,1.56E+12,55.7,330.3,-22.5,3.334,3.279,34.2,32.1,8.22,117.39
1000304,1.55E+12,31.1,354.7,-22.5,3.591,3.523,36.0,34.8,3.92,76.79
1000305,1.55E+12,50.0,329.1,-22.5,3.336,3.268,35.2,33.9,4.65,94.93
1000306,1.55E+12,42.2,353.6,-22.5,3.568,3.508,32.7,30.6,3.12,109.06
1000309,1.55E+12,41.6,356.1,-22.5,3.594,3.534,34.5,32.7,5.03,116.00
1000312,1.55E+12,29.5,336.9,-22.5,3.414,3.348,37.0,33.2,4.24,89.45
1000313,1.56E+12,41.7,327.3,-22.5,3.314,3.250,36.0,34.2,5.78,68.71
1000316,1.55E+12,49.1,328.4,-22.5,3.316,3.259,36.0,32.7,4.43,108.97
1000321,1.56E+12,19.3,343.0,-22.5,3.477,3.402,34.5,31.9,5.09,102.11
1000322,1.57E+12,18.4,340.7,-22.5,3.438,3.382,37.0,34.8,3.38,66.37
1000323,1.56E+12,16.5,344.1,-22.5,3.480,3.416,36.6,32.6,12.13,82.42
1000324,1.56E+12,59.3,327.5,-22.5,3.320,3.254,33.4,29.9,2.75,100.73
1000326,1.56E+12,46.1,326.2,-22.5,3.304,3.235,37.0,34.6,8.63,89.41
1000328,1.56E+12,38.3,349.9,-22.5,3.549,3.471,36.0,32.4,8.97,92.46
1000329,1.56E+12,55.5,329.8,-22.5,3.338,3.274,33.7,30.9,3.32,73.33
1000330,1.56E+12,34.2,328.1,-22.5,3.320,3.251,33.0,29.3,25.77,74.24
1000331,1.55E+12,34.2,329.5,-22.5,3.344,3.275,37.0,33.0,0.45,117.13
1000335,1.56E+12,28.1,330.5,-22.5,3.349,3.280,36.8,34.5,23.61,60.08
1000336,1.56E+12,45.5,350.4,-22.5,3.538,3.482,33.0,29.2,10.45,72.36
1000342,1.55E+12,63.4,331.8,-22.5,3.359,3.289,37.0,35.5,7.03,71.03
1000343,1.55E+12,58.1,329.6,-22.5,3.334,3.273,36.0,34.2,10.65,88.06
1000345,1.56E+12,71.8,333.7,-22.5,3.371,3.317,33.0,29.3,0.92,66.78
1000348,1.57E+12,35.9,327.9,-22.5,3.328,3.251,37.0,33.7,6.54,111.89
1000349,1.55E+12,29.6,351.7,-22.5,3.552,3.491,36.8,34.0,5.80,99.31
1000350,1.56E+12,32.5,357.2,-22.5,3.605,3.549,37.0,34.4,1.42,71.61
