sessionId,kwhTotal,charging_fees,created,ended,startTime,endTime,chargeTimeHrs,weekday,platform,userId,stationId,locationId,managerVehicle,facilityType,Mon,Tues,Wed,Thurs,Fri,Sat,Sun
1000001,7.84,0.00,0015-02-24 11:06:43,0015-02-24 15:06:43,11,15,3.52,Thu,android,731262,369001,493904,1,3,0,0,0,0,0,0,0
1000002,10.92,0.00,0015-08-19 11:17:51,0015-08-19 15:17:51,11,15,3.96,Wed,ios,900581,250527,976902,1,3,0,0,1,0,0,0,0
1000003,3.17,0.12,0015-04-26 15:02:46,0015-04-26 18:02:46,15,18,2.70,Tue,android,479201,355208,976902,1,1,0,0,0,0,0,0,0
1000004,7.35,0.00,0015-03-03 11:54:14,0015-03-03 15:54:14,11,15,3.95,Thu,ios,802729,955429,493904,1,3,0,0,0,0,0,0,0
1000005,4.43,0.80,0015-08-24 11:15:10,0015-08-24 14:15:10,11,14,2.71,Mon,android,158655,944515,976902,1,2,1,0,0,0,0,0,0
1000006,5.80,0.00,0015-06-19 11:56:45,0015-06-19 14:56:45,11,14,2.32,Tue,ios,358607,366832,978130,0,3,0,0,0,0,0,0,0
1000007,2.85,0.00,0015-09-12 15:14:08,0015-09-12 18:14:08,15,18,2.84,Fri,android,542666,355208,976902,0,2,0,0,0,0,1,0,0
1000008,3.78,0.00,0015-08-18 11:55:00,0015-08-18 15:55:00,11,15,3.34,Wed,ios,407757,507660,202527,1,3,0,0,1,0,0,0,0
1000009,3.12,0.00,0015-09-17 11:48:11,0015-09-17 14:48:11,11,14,2.83,Fri,ios,492077,569886,868085,0,3,0,0,0,0,1,0,0
1000010,2.56,1.83,0015-09-11 00:31:01,0015-09-11 02:31:01,00,02,1.40,Fri,android,182582,228137,503205,1,4,0,0,0,0,1,0,0
1000011,6.09,0.00,0015-03-05 17:42:30,0015-03-05 22:42:30,17,22,4.58,Fri,ios,891952,787792,648339,0,1,0,0,0,0,1,0,0
1000012,4.24,0.00,0015-06-15 16:57:33,0015-06-15 19:57:33,16,19,2.68,Wed,android,107540,875343,747048,1,2,0,0,1,0,0,0,0
1000013,4.61,0.00,0015-05-03 17:32:15,0015-05-03 20:32:15,17,20,2.21,Thu,ios,354801,672450,202527,0,2,0,0,0,0,0,0,0
1000014,2.82,0.00,0015-05-14 12:26:29,0015-05-14 16:26:29,12,16,3.94,Mon,ios,939482,369001,493904,0,2,1,0,0,0,0,0,0
1000015,3.51,0.00,0015-05-09 12:29:15,0015-05-09 16:29:15,12,16,3.98,Wed,ios,666847,369001,493904,0,2,0,0,1,0,0,0,0
1000016,12.38,0.00,0015-09-16 11:30:13,0015-09-16 15:30:13,11,15,3.94,Mon,android,923267,371335,461655,1,1,1,0,0,0,0,0,0
1000017,2.87,0.00,0015-09-23 14:31:09,0015-09-23 16:31:09,14,16,1.90,Fri,ios,152578,369001,493904,1,3,0,0,0,0,1,0,0
1000018,0.82,0.00,0015-09-03 19:54:11,0015-09-03 21:54:11,19,21,1.00,Fri,ios,707040,500856,976902,1,4,0,0,0,0,1,0,0
1000019,5.37,0.00,0015-07-09 13:13:42,0015-07-09 17:13:42,13,17,3.45,Thu,ios,888387,250527,976902,0,3,0,0,0,0,0,0,0
1000020,7.79,0.00,0015-08-18 10:13:32,0015-08-18 13:13:32,10,13,2.17,Tue,ios,974244,987396,978130,1,3,0,0,0,0,0,0,0
